OBI-WAN	We've got to split them up.
ANAKIN	Break left, fly through the guns on that tower.
OBI-WAN	Easy for you to say . . . why am I always the bait?
ANAKIN	Don't worry. I'm coming around behind you.
OBI-WAN	Anakin, they're all over me!
ANAKIN	Dead ahead! Closing . . . lock onto him, Artoo . . . We got him, Artoo! I copy, Artoo.
OBI-WAN	I'm going down on the deck.
ANAKIN	Good idea ... I need some room to maneuver. Cut right. Do you hear me?! Cut right. Don't let him get a handle on you. Come on, Artoo, lock on! Lock on!
OBI-WAN	Hurry up! I don't like this! Ouch! Don't even try to fix it, Arfour. I've shut it down.
ANAKIN	We're locked on ... we've got him . . . Yeah! We got him . . . good going, Artoo.
OBI-WAN	Next time you're the bait . . . Now let's find the Command Ship and get on with it ...
ANAKIN	Lock onto them, Artoo. Master, General Grievous's ship is directly ahead. The one crawling with vulture droids.
===	===
OBI-WAN	I see it. Oh, this is going to be easy.
ANAKIN	Come on, Master.
===	===
OBI-WAN	Add five Tri-fighters on the right . . .
ANAKIN	I'm going head to head. See you.
ODD BALL	I'm on your right, Red Leader.
ANAKIN	Incoming!!
OBI-WAN	Five more on the right!
ANAKIN	Here we go.
OBI-WAN	I'm going high and right.
ANAKIN	Hang on. There are four more of them.
OBI-WAN	Stay with me . . . swing back and right . . . help me engage. Back off ... Let them pass between us.
ANAKIN	I'm coming around. I'm coming around on your tail.
OBI-WAN	All right, engage . . . and hurry. These droids are all over me like a rash.
ANAKIN	How many back there. Artoo?  Three . . .  Four . . . that's not good.
OBI-WAN	Anakin, you have four on your tail.
ANAKIN	I know. I know!
OBI-WAN	Four more closing from your left.
ANAKIN	I know. I know!
OBI-WAN	Break right and go high.
ANAKIN	I'm going low and left.
OBI-WAN	He still has much to learn.
ANAKIN	Hang on, Artoo. Obi-Wan, do you copy? I'm going to pull them through the needle . . .
OBI-WAN	"Too dangerous. First Jedi rule: ""Survive."""
ANAKIN	Sorry, no choice. Come down here and thin them out a little.
OBI-WAN	Just keep me steady . . . hold on ... not yet. . . now break left. You'll never get through there, Anakin. It's too tight.
ANAKIN	Easy, Artoo . . . we've done this before.
OBI-WAN	Use the Force, think yourself through, the ship will follow.
ANAKIN	Wrong thought, Artoo. I'm through.
CLONE PILOT 2	I'm on your wing. Break left. Break left. They're all over me. Get them off my . . .
ANAKIN	I'm going to go help them out!
OBI-WAN	No, no! They are doing their job so we can do ours. Head for the Command Ship!
ANAKIN	Missiles! Pull up!
OBI-WAN	They overshot us . . .
ANAKIN	They're coming around!
OBI-WAN	All right, Arfour. No, no. Nothing too fancy.
ANAKIN	Surge all power units. Artoo! Stand by the reverse thrusters. We got 'em. Artoo!
OBI-WAN	Flying is for droids. I'm hit! Anakin?
ANAKIN	I see them . . . Buzz Droids.
OBI-WAN	Arfour, be careful. You have one . . . Oh dear. They're shutting down all the controls.
ANAKIN	Move to the right so I can get a clear shot at them.
OBI-WAN	The mission. Get to the Command Ship. Get the Chancellor! I'm running out of tricks here. In the name of ...
ANAKIN	Steady . . . steady . . .
OBI-WAN	Anakin, hold your fire . . . hold your fire. You're not helping here.
ANAKIN	I agree, bad idea. Swing right . . . ease over . . . steady . . .
OBI-WAN	Wait . . . wait . . . I can't see a thing! My cockpit's fogging. They're all over me, Anakin.
ANAKIN	Move to the right.
OBI-WAN	Hold on, Anakin. You're going to get us both killed! Get out of here. There's nothing more you can do.
ANAKIN	I'm not leaving without you, Master.
OBI-WAN	Blast it ... I can't see . . . my controls are gone.
ANAKIN	Get 'em, Artoo. Watch out!
OBI-WAN	Artoo, hit the buzz droid's center eye.
ANAKIN	Yeah, you got him!
OBI-WAN	Great, Artoo.
