BAIL ORGANA	Certainly.
PADME	Oh, Anakin! Thank goodness, you're back.
ANAKIN	I missed you, Padme. I've missed you so.
PADME	There were whispers . . . that you'd been killed. I've been living with unbearable dread.
ANAKIN	I'm back, I'm all right. It feels like we've been apart for a lifetime. And it might have been ... If the Chancellor hadn't been kidnapped. I don't think they would have ever brought us back from the Outer Rim sieges.
PADME	Wait, not here . . .
ANAKIN	Yes, here! I'm tired of all this deception. I don't care if they know we're married.
PADME	Anakin, don't say things like that. You're important to the Republic ... to ending this war. I love you more than anything, but I won't let you give up your life as a Jedi for me . . .
ANAKIN	I've given my life to the Jedi order, but I'd only give up my life, for you.
PADME	I wouldn't like that. I wouldn't like that one bit. Patience, my handsome Jedi . . . Come to me later.
ANAKIN	Are you all right? You're trembling. What's going on?
PADME	I'm just excited to see you.
ANAKIN	That's not it. I sense more . . . what is it?
PADME	Nothing . . . nothing . . .
ANAKIN	You're frightened.  Tell me what's going on!
PADME	You've been gone five months . . . it's been very hard for me. I've never felt so alone. There's . . .
ANAKIN	. . . Is there someone else?
PADME	No! Why do you think that? Your jealousy upsets me so much, Anakin. I do nothing to betray you, yet you still don't trust me. Nothing has changed.
ANAKIN	I'm afraid of losing you, Padme . . . that's all.
PADME	I will never stop loving you, Anakin. My only fear is losing you.
ANAKIN	It's just that I've never seen you like this . . .
PADME	Something wonderful has happened. I'm . . . Annie, I'm pregnant.
ANAKIN	That's . . . that's wonderful.
PADME	What are we going to do?
===	===
ANAKIN	. . . every second I was thinking of you. Protecting the endless, nameless Outer Rim settlements became a torture . . . the battles were easy, the longing became unbearable . . . I've never been so happy as I am at this moment.
PADME	Annie, I want to have our baby back home on Naboo. We could go to the lake country where no one would know . . . where we would be safe. I could go early-and fix up the baby's room. I know the perfect spot, right by the gardens.
ANAKIN	You are so beautiful!
PADME	It's only because I'm so in love . . .
ANAKIN	No, it's because I'm so in love with you.
PADME	So love has blinded you?
ANAKIN	Well, that's not exactly what I meant . . .
PADME	But it's probably true!
ANAKIN	I haven't laughed in so long . . .
PADME	Neither have I.
===	===
ANAKIN	Nothing . . . I remember when I gave this to you.
PADME	Anakin, how long is it going to take for us to be honest with each other?
ANAKIN	It was a dream.
PADME	Bad?
ANAKIN	Like the ones I used to have about my mother just before she died.
PADME	And?
ANAKIN	It was about you.
PADME	Tell me.
ANAKIN	It was only a dream. You die in childbirth . . .
PADME	And the baby?
ANAKIN	I don't know.
PADME	It was only a dream.
ANAKIN	. . . I won't let this one become real, Padme.
PADME	Anakin, this baby will change our lives. I doubt the Queen will continue to allow me to serve in the Senate, and if the Council discovers you are the father, you will be expelled from the Jedi Order.
ANAKIN	I know бн.
PADME	Anakin, do you think Obi-Wan might be able to help us?
ANAKIN	Have you told him anything?
PADME	No, but he's your mentor, your best friend . . . he must suspect something.
ANAKIN	He's been a father to me, but he's still on the Council. Don't tell him anything!
PADME	I won't, Anakin.
===	===
BAIL ORGANA	The decree was posted this morning.
PADME	Do you think he will dismantle the Senate?
BAIL ORGANA	It has become increasingly clear to many of us that the Chancellor has become an enemy of democracy.
PADME	I can't believe it has come to this! Chancellor Palpatine is one of my oldest advisors. He served as my Ambassador when I was Queen.
BAIL ORGANA	We can't sit around debating any longer, we have decided to do what we can to stop it. Senator Mon Mothma and I are putting together an organization . . .
PADME	Say no more. Senator Organa. I understand. At this point, it's better to leave some things unsaid.
MON MOTHMA	That means those closest to you . . . even family ... no one can be told.
PADME	Agreed.
===	===
CAPTAIN TYPHO	Rest well. My Lady.
PADME	I'll be up in a while.
C-3PO	Is there anything I might do for you, my lady?
PADME	Yes, make sure all the security droids are working. Thank you, Threepio.
ANAKIN	Beautiful, isn't it?
PADME	You startled me.
ANAKIN	How are you feeling?
PADME	He keeps kicking.
ANAKIN	He?! Why do you think it's a boy?
PADME	My motherly intuition.
ANAKIN	Whoa! With a kick that strong, it's got to be a girl.
PADME	I heard about your appointment. Anakin. I'm so proud of you.
ANAKIN	I may be on the Council, but . . . they refused to accept me as a Jedi Master.
PADME	Patience. In time, they will recognize your skills.
