PADME	corde 
CORDE	  ilet us sorry m lady  ilet us  not sure i 
AMIDALA	no  no  no  i should not have come back
CAPTAIN TYPHO	m lady you are still in danger this vote is very important you did your duty and corde did hers now come she doescan not respond m lady please
===	===
MAS AMEDDA	order we shall have order the motion for the republic to commission an army takes precedent and that is what we will vote on at this time
DARTH SIDIOUS	 my esteemed colleagues excuse me  i have just received some tragic and disturbing news senator amidala of the naboo system  has been assassinated this grievous blow is especially personal to me before i became chancellor i served amidala when she was queen she was a great leader who fought for justice not only in this honourable assembly but also on her home planet she was so loved she could have been elected queen for life she believed in public service and she fervently believed in democracy her death is a great loss to us all we will all mourn her as a relentless champion of freedom  and as a dear friend
SENATOR ASK AAK	how many more senators will die before this civil strife ends we must confront these rebels now and they need an army to do it
AMBASSADOR DARSANA	why werecan not the jedi able to stop this assassination we are no longer safe under their protection
ORN FREE TAA	the republic needs more security now before it comes to war
DARTH SIDIOUS	must i remind the senator from malastare that negotiations are continuing with the separatists peace is our objective here  not war
AMIDALA	my noble colleagues i concur with the supreme chancellor at all costs we do not want war
DARTH SIDIOUS	it is with great surprise and joy the chair recognises the senator from naboo padme amidala
PADME	less than an hour ago an assassination attempt was made against my life one of my bodyguards and six  others were ruthlessly and senselessly murdered i was the target but more importantly i believe this security measure before you was the target i have led the opposition to build an army  but there is someone in this body who will stop at nothing to assure it will passage  i warn you if you vote to create this army war will follow i have experienced the misery of war firsthand i do not wish to do it again wake up senators  you must wake up if you offer the separatists violence they can only show us violence in return many will lose their lives all will lose their freedom this decision could very well destroy the very foundation of our great republic i pray you do not let fear push you into a disastrous decision vote down this security measure which is nothing less than a declaration of war does anyone here want that i cannot believe they do
ORN FREE TAA	my motion to defer the vote must be dealt with first that is the rule of law
DARTH SIDIOUS	due to the lateness of the hour and the seriousness of this motion we will take up these matters tomorrow until then the senate stands adjourned
===	===
DARTH SIDIOUS	i docan not know how much longer i can hold off the vote my friends more and more star systems are joining the separatists
MACE WINDU	if they do break away 
DARTH SIDIOUS	no i will not let that happen
MACE WINDU	but if they do you must realise there arecan not enough jedi to protect the republic we are keepers of the peace not soldiers
DARTH SIDIOUS	master yoda do you think it will really come to war
YODA	worse than war i fear  much worse
DARTH SIDIOUS	what
MACE WINDU	what do you sense master
YODA	impossible to see   the dark side clouds everything but this i am sure of  do their duty the jedi will
DAR WAC	the loyalist committee has arrived my lord
DARTH SIDIOUS	send them in
YODA	with you the force is strong  young senator to see you alive brings warm feeling to my heart
PADME	thank you master yoda do you have any idea who was behind the attack
MACE WINDU	our intelligence points to disgruntled spice miners on the moons of naboo
PADME	i docan not wish to disagree but i think that count dooku was behind it
MACE WINDU	you know m lady count dooku was once a jedi he wouldcan not assassinate anyone it is not in his character
KI-ADI-MUNDI	he is a political idealist not a murderer
YODA	in dark times nothing is what it appears to be but the fact remains senator in grave danger you are
DARTH SIDIOUS	count dooku has always avoided any kind of conflict it appears he has no desire to start a war why would he kill you to what end
PADME	i docan not know but everything in my being tells me he was behind it 
DARTH SIDIOUS	master jedi may i suggest that the senator be placed under the protection of your graces
BAIL ORGANA	do you think that is a wise use of manpower during these stressful times
PADME	chancellor if i may comment i do not believe the 
DARTH SIDIOUS	  situation is that serious  no but i do senator
PADME	chancellor please i docan not want any more guards
DARTH SIDIOUS	i realise all too well that additional security might be disruptive for you but perhaps someone you are familiar with  an old friend like  master kenobi 
MACE WINDU	that will possible he has just returned from a border dispute on ansion
DARTH SIDIOUS	you must remember him m lady  he watched over you during the blockade conflict
PADME	this is not necessary chancellor
DARTH SIDIOUS	do it for me m lady please i will rest easier we had a big scare today the thought of losing you is unbearable
MACE WINDU	i will have obiwan report to you immediately m lady
YODA	too little about yourself you worry senator and too much about politics be mindful of your danger padme accept our help
DARTH SIDIOUS	i will not like this republiv that has stood for over a thousand years be split in two
===	===
JAR JAR	obi obi obi mesa sooo smilen to see en yousa wahoooooo
OBI-WAN	it will good to see you too jar jar
