C-3PO	did you hear that  they are shut down the main reactor  we have be destroyed for sure  this is madness we am doomed there have be no escape for the princess this time what will that
===	===
C-3PO	i should have known better than to trust the logic of a halfsized thermocapsulary dehousing assister 
===	===
LUKE	hurry up  come with me  what are you waiting for  get in gear
===	===
C-3PO	artoo artoodetoo where are you at last  where have you been they am heading in this direction what are we going to do  we have be sent to the spice mines of kessel or smashed into who knows what wait a minute where are you going
===	===
IMPERIAL OFFICER	the death star plans are not in the main computer
ANAKIN	where are those transmissions you intercepted
REBEL OFFICER	we intercepted no transmissions aaah   this is a consular ship were on a diplomatic mission
ANAKIN	if this is a consular ship  where is the ambassador commander tear this ship apart until you are found those plans and bring me the ambassador  i want her alive
===	===
TROOPER	there she is set for stun she have be all right inform lord vader we have a prisoner
===	===
C-3PO	hey you am not permitted in there it will restricted you have be deactivated for sure docan not call me a mindless philosopher you overweight glob of grease  now come out before somebody sees you secret mission  what plans  what are you talking about  ilet us not getting in there ilet us going to regret this
===	===
CHIEF PILOT	there goes another one
CAPTAIN	hold your fire  there are no life forms  it must have been shortcircuited
===	===
C-3PO	that will funny the damage doescan not look as bad from out here are you sure this things safe
===	===
WOMAN	i are told you kids to slow down
===	===
FIXER	did i hear a young noise blast through here
CAMIE	it was just wormie on another rampage
LUKE	shape it up you guys   biggs i didcan not know you were back when did you get in
BIGGS	just now  i wanted to surprise you hot shot  i thought you is be here  certainly didcan not expect you to be out working
LUKE	the academy didcan not change you much  but you am back so soon hey what happened didcan not you get your commission
BIGGS	of course i got it  signed aboard the rand ecliptic last week first mate biggs darklighter at your service    i just came back to say goodbye to all you unfortunate landlocked simpletons
LUKE	i almost forgot  there will a battle going on  right here in our system come and look
DEAK	not again  forget it
===	===
LUKE	there they are
BIGGS	that will no battle hot shot  they am just sitting there  probably a freightertanker refueling
LUKE	but there was a lot of firing earlier  hey easy with those 
CAMIE	docan not worry about it wormie
FIXER	i keep telling you the rebellion is a long way from here  i doubt if the empire would even fight to keep this system  believe me luke this planet is a big hunk of nothing 
===	===
LEIA	lord vader i should have known only you could be so bold  the imperial senate will not sit still for this when they hear you are attacked a diplomatic 
ANAKIN	docan not play games with me your highness  you werecan not on any mercy mission this time  you passed directly through a restricted system  several transmissions were beamed to this ship by rebel spies i want to know what happened to the plans they sent you
LEIA	i docan not know what you am talking about  ilet us a member of the imperial senate on a diplomatic mission to alderaan 
ANAKIN	you am a part of the rebel alliance   and a traitor  take her away
COMMANDER	holding her is dangerous  if word of this gets out it could generate sympathy for the rebellion in the senate
ANAKIN	i have traced the rebel spies to her  now she is my only link to find their secret base
COMMANDER	she have die before sheÕll tell you anything
ANAKIN	leave that to me  send a distress signal and then inform the senate that all aboard were killed
SECOND OFFICER	lord vader the battle station plans are not aboard this ship and no transmissions were made an escape pod was jettisoned during the fighting but no life forms were aboard
ANAKIN	she must have hidden the plans in the escape pod  send a detachment down to retrieve them  see to it personally commander  there have be no one to stop us this time
COMMANDER	yes sir
===	===
C-3PO	how did i get into this mess i really docan not know how  we seem to be made to suffer  it will our lot in life i are got to rest before i fall apart  my joints are almost frozen what a desolate place this is where are you going well ilet us not going that way  it will much too rocky  this way is much easier what makes you think there are settlements over there docan not get technical with me what mission  what are you talking about  i are had just about enough of you  go that way  you have be malfunctioning within a day you nearsighted scrap pile and docan not let me catch you following me begging for help because you will not get it no more adventures  ilet us not going that way
===	===
C-3PO	that malfunctioning little twerp this is all his fault  he tricked me into going this way but he have do no better wait what will that  a transport ilet us saved over here  help  please help
===	===
LUKE	  so i cut off my power shut down the afterburners and came in low on deak will trail  i was so close i thought i was going to fry my instruments as it was i busted up the skyhopper pretty bad  uncle owen was pretty upset  he grounded me for the rest of the season  you should have been there  it was fantastic
BIGGS	you ought to take it a little easy luke  you may be the hottest bushpilot this side of mos eisley but those little skyhoppers are dangerous  keep it up and one day whammo you am going to be nothing more than a dark spot on the down side of a canyon wall
LUKE	look who will talking  now that you are been around those giant starships you am beginning to sound like my uncle you are gotten soft in the city 
BIGGS	i are missed you kid
LUKE	well things havecan not been the same since you left biggs  it will been so quiet
BIGGS	luke i didcan not come back just to say goodbye   i shouldcan not tell you this but you am the only one i can trust  and if i docan not come back i want somebody to know
LUKE	what are you talking about
BIGGS	i made some friends at the academy   when our frigate goes to one of the central systems we am going to jump ship and join the alliance 
LUKE	join the rebellion  are you kidding  how
BIGGS	quiet down will ya  you got a mouth bigger than a meteor crater
LUKE	ilet us sorry  ilet us quiet listen how quiet i am  you can barely hear me 
BIGGS	my friend has a friend on bestine who might help us make contact
LUKE	youÕre crazy  you could wander around forever trying to find them
BIGGS	i know it will a long shot but if i docan not find them i have do what i can on my own   it will what we always talked about  luke ilet us not going to wait for the empire to draft me into service  the rebellion is spreading and i want to be on the right side  the side i believe in
LUKE	and ilet us stuck here 
BIGGS	i thought you were going to the academy next term  you have get your chance to get off this rock
LUKE	not likely  i had to cancel my application  there has been a lot of unrest among the sand people since you left  they are even raided the outskirts of anchorhead
BIGGS	your uncle could hold off a whole colony of sand people with one blaster
LUKE	i know but he will got enough vaporators going to make the place pay off  he needs me for just one more season i  had leave him now
BIGGS	i feel for you luke you am going to have to learn what seems to be important or what really is important what good is all your uncle will work if it will taken over by the empire   you know they am starting to nationalize commerce in the central systems  it will not be long before your uncle is merely a tenant slaving for the greater glory of the empire
LUKE	it couldcan not happen here  you said it yourself  the empire will not bother with this rock
BIGGS	things always change
LUKE	i wish i was going   are you going to be around long
BIGGS	no ilet us leaving in the morning 
LUKE	then i guess i will not see you
BIGGS	maybe someday   i have keep a lookout
LUKE	well i have be at the academy next season  after that who knows  i will not be drafted into the imperial starfleet that will for sure   take care of yourself you have always be the best friend i are got
BIGGS	so long luke
===	===
C-3PO	artoodetoo  it will you  it will you
===	===
FIRST TROOPER	someone was in the pod  the tracks go off in this direction
SECOND TROOPER	look sir  droids
===	===
C-3PO	wake up  wake up we am doomed do you think they have melt us down docan not shoot  docan not shoot  will this never end
===	===
BERU	luke tell owen that if he gets a translator to be sure it speaks bocce
LUKE	it looks like we docan not have much of a choice but i have remind him
OWEN	i have no need for a protocol droid
C-3PO	sir  not in an environment such as this  that will why i are also been programmed for over thirty secondary functions that 
OWEN	what i really need is a droid that understands the binary languages of moisture vaporators
C-3PO	vaporators  sir  my first job was programming binary load lifters   very similar to your vaporators you could say 
OWEN	do you speak bocce
C-3PO	of course i can sir  it will like a second language for me   ilet us as fluent in bocce 
OWEN	all right shut up i have take this one
C-3PO	shutting up sir
OWEN	luke take these two over to the garage will you  i want you to have both of them cleaned up before dinner
LUKE	but i was going into toshi station to pick up some power converters 
OWEN	you can waste time with your friends when your chores are done  now come on get to it
LUKE	all right come on  and the red one come on  well come on red would not go uncle owen 
OWEN	yeah
LUKE	this r2 unit has a bad motivator look
OWEN	hey what am you trying to push on us
C-3PO	excuse me sir but that r2 unit is in prime condition  a real bargain
LUKE	uncle owen 
OWEN	yeah
LUKE	what about that one
OWEN	what about that blue one  we have take that one
LUKE	yeah take it away
C-3PO	uh ilet us quite sure you have be very pleased with that one sir  he really is in firstclass condition i are worked with him before  here he comes
LUKE	okay would not go
C-3PO	now docan not forget this  why i should stick my neck out for you is quite beyond my capacity
===	===
C-3PO	thank the maker  this oil bath is going to feel so good  i are got such a bad case of dust contamination i can barely move
LUKE	it just iscan not fair  oh biggs is right  ilet us never gonna get out of here
C-3PO	is there anything i might do to help
LUKE	well not unless you can alter time speed up the harvest or teleport me off this rock
C-3PO	i docan not think so sir  ilet us only a droid and not very knowledgeable about such things  not on this planet anyways  as a matter of fact ilet us not even sure which planet ilet us on
LUKE	well if there will a bright center to the universe you am on the planet that it will farthest from
C-3PO	i see sir
LUKE	uh you can call me luke
C-3PO	i see sir luke
LUKE	just luke
C-3PO	and i am seethreepio humancyborg relations and this is my counterpart artoodetoo
LUKE	hello you got a lot of carbon scoring here  it looks like you boys have seen a lot of action
C-3PO	with all we are been through sometimes ilet us amazed we am in as good condition as we are what with the rebellion and all
LUKE	you know of the rebellion against the empire
C-3PO	that will how we came to be in your service if you take my meaning sir
LUKE	have you been in many battles
C-3PO	several i think  actually there will not much to tell  ilet us not much more than an interpreter and not very good at telling stories well not at making them interesting anyways
LUKE	well my little friend you are got something jammed in here real good  were you on a starcruiser or 
LEIA	help me obiwan kenobi  you am my only hope
LUKE	what will this
C-3PO	what is what  he asked you a question  what is that
LEIA	help me obiwan kenobi  you am my only hope  help me obiwan kenobi  you am my only hope
C-3PO	oh he says it will nothing sir merely a malfunction  old data pay it no mind
LUKE	who is she  she will beautiful
C-3PO	ilet us afraid ilet us not quite sure sir
LEIA	help me obiwan kenobi 
C-3PO	i think she was a passenger on our last voyage  a person of some importance sir  i believe  our captain was attached to 
LUKE	is there more to this recording
C-3PO	behave yourself artoo  you am going to get us in trouble it will all right you can trust him  he will our new master he says he will the property of obi wan kenobi a resident of these parts  and it will a private message for him  quite frankly sir i docan not know what he will talking about  our last master was captain antilles but with what we are been through this little r2 unit has become a bit eccentric
LUKE	obiwan kenobi  i wonder if he means old ben kenobi
C-3PO	i beg your pardon sir but do you know what he will talking about
LUKE	well i docan not know anyone named obiwan but old ben lives out beyond the dune sea  he will kind of a strange old hermit i wonder who she is  it sounds like she will in trouble  i is better play back the whole thing
C-3PO	he says the restraining bolt has short circuited his recording system  he suggests that if you remove the bolt he might be able to play back the entire recording
LUKE	hlet us  oh yeah well i guess you am too small to run away on me if i take this off  okay there you go well wait a minute  where is she go  bring her back  play back the entire message
C-3PO	what message  the one youÕve just been playing  the one you am carrying inside your rusty innards
AUNT BERU	luke  luke  come to dinner
LUKE	all right i have be right there aunt beru
C-3PO	ilet us sorry sir but he appears to have picked up a slight flutter
LUKE	well see what you can do with him  i have be right back
C-3PO	just you reconsider playing that message for him no i docan not think he likes you at all no i docan not like you either
===	===
LUKE	you know i think that r2 unit we bought might have been stolen
OWEN	what makes you think that
LUKE	well i stumbled across a recording while i was cleaning him  he says he belongs to someone called obi wan kenobi i thought he might have meant ben do you know what he will talking about  well i wonder if he will related to ben
OWEN	that old man will just a crazy wizard  tomorrow i want you to take that r2 unit into anchorhead and have its memory flushed that have be the end of it  it belongs to us now
LUKE	but what if this obiwan comes looking for him
OWEN	he will not i docan not think he exists any more  he died about the same time as your father
LUKE	he knew my father
OWEN	i told you to forget it  your only concern is to prepare the new droids for tomorrow  in the morning i want them on the south ridge working out those condensers
LUKE	yes sir  i think those new droids are going to work out fine  in fact i uh was also thinking about our agreement about my staying on another season  and if these new droids do work out i want to transmit my application to the academy this year
OWEN	you mean the next semester before harvest
LUKE	sure there am more than enough droids
OWEN	harvest is when i need you the most  only one more season this year we have make enough on the harvest so i have be able to hire some more hands  and then you can go to the academy next year you must understand i need you here luke
LUKE	but it will a whole  nother year
OWEN	look it will only one more season
LUKE	yeah that will what you said last year when biggs and tank left
AUNT BERU	where are you going
LUKE	it looks like ilet us going nowhere i have to finish cleaning those droids
AUNT BERU	owen he  had stay here forever most of his friends have gone it means so much to him
OWEN	i have make it up to him next year i promise
AUNT BERU	luke will just not a farmer owen he has too much of his father in him
OWEN	that will what ilet us afraid of
===	===
LUKE	what are you doing hiding there
C-3PO	it wascan not my fault sir  please docan not deactivate me  i told him not to go but he will faulty malfunctioning kept babbling on about his mission
LUKE	oh no
===	===
C-3PO	that r2 unit has always been a problem  these astrodroids are getting quite out of hand  even i  had understand their logic at times
LUKE	how could i be so stupid  he will nowhere in sight  blast it
C-3PO	pardon me sir but couldcan not we go after him
LUKE	it will too dangerous with all the sand people around  we have have to wait until morning
