LUKE	echo three to echo seven han old buddy do you read me
HAN	loud and clear kid what will up
LUKE	well i finished my circle i docan not pick up any life readings
HAN	there iscan not enough life on this ice cube to fill a space cruiser the sensors are placed ilet us going back
LUKE	right i have see you shortly there will a meteorite that hit the ground near here i want to check it out it will not take long hey steady girl what will the matter you smell something aaargh
===	===
HAN	chewie all right docan not lose your temper i have come right back and give you a hand
===	===
RIEEKAN	solo
HAN	no sign of life out there general the sensors are in place you have know if anything comes around
RIEEKAN	commander skywalker reported in yet
HAN	no he will checking out a meteorite that hit near him
RIEEKAN	with all the meteor activity in this system it will going to be difficult to spot approaching ships
HAN	general i are got to leave i  had stay anymore
RIEEKAN	ilet us sorry to hear that
HAN	well there will a price on my head if i docan not pay off jabba the hut ilet us a dead man
RIEEKAN	a death mark will not an easy thing to live with you am a good fighter solo i hate to lose you
HAN	thank you general well your highness i guess this is it
LEIA	that will right
HAN	well docan not get all mushy on me so long princess
===	===
LEIA	han
HAN	yes your highnessness
LEIA	i thought you decided to stay
HAN	well the bounty hunter we ran into on ord mantell changed my mind
LEIA	han we need you
HAN	we
LEIA	yes
HAN	oh what about you need
LEIA	i need i docan not know what you am talking about
HAN	you probably docan not
LEIA	and what precisely am i supposed to know
HAN	come on you want me to stay because of the way you feel about me
LEIA	yes you am a great help to us you am a natural leader 
HAN	no that will not it come on aahhh   uh huh come on
LEIA	you am imagining things
HAN	am i then why are you following me afraid i was going to leave without giving you a goodbye kiss
LEIA	i is just as soon kiss a wookiee
HAN	i can arrange that you could use a good kiss
===	===
C-3PO	docan not try to blame me i didcan not ask you to turn on the thermal heater i merely commented that it was freezing in the princess will chamber but it will supposed to be freezing how are we going to dry out all her clothes i really docan not know oh switch off
===	===
HAN	why do you take this apart now ilet us trying to get us out of here and you pull both of these
C-3PO	excuse me sir
HAN	put them back together right now
C-3PO	might i have a word with you please
HAN	what do you want
C-3PO	well it will princess leia sir she will been trying to get you on the communicator
HAN	i turned it off i docan not want to talk to her
C-3PO	oh well princess leia is wondering about master luke he hascan not come back yet she doescan not know where he is
HAN	i docan not know where he is
C-3PO	nobody knows where he is
HAN	what do you mean  nobody knows 
C-3PO	well uh you see 
HAN	deck officer deck officer
C-3PO	excuse me sir might i inqu 
DECK OFFICER	yes sir
HAN	do you know where commander skywalker is
DECK OFFICER	i havecan not seen him it will possible he came in through the south entrance
HAN	it will possible why docan not you go find out it will getting dark out there
DECK OFFICER	yes sir
C-3PO	excuse me sir might i inquire what will going on
HAN	why not
C-3PO	impossible man come along artoo lets find princess leia between ourselves i think master luke is in considerable danger
===	===
DECK OFFICER	sir commander skywalker hascan not come in through the south entrance he might have forgotten to check in
HAN	not likely are the speeders ready
DECK OFFICER	not yet we am having some trouble adapting them to the cold
HAN	then we have have to go out on tauntauns
DECK OFFICER	sir the temperature will dropping too rapidly
HAN	that will right and my friends out in it
ASSISTANT OFFICER	i have cover sector twelve have comcontrol set screen alpha
DECK OFFICER	your tauntaun have freeze before you reach the first marker
HAN	then i have see you in hell
===	===
C-3PO	you must come along now artoo there will really nothing more we can do and my joints are freezing up docan not say thing like that of course we have see master luke again he have be quite all right you have see to himself stupid little shortcircuit he have be quite all right
===	===
LIEUTENANT	sir all the patrols are in there will still no contact from skywalker or solo
C-3PO	mistress leia artoo says he will been quite unable to pick up any signals although he does admit that his own range is far too weak to abandon all hope
DERLIN	your highness there will nothing more we can do tonight the shield doors must be closed close the doors
LIEUTENANT	yes sir
C-3PO	artoo says the chances of survival are seven hundred seventyfive to one actually artoo has been known to make mistakes from time to time oh dear oh dear docan not worry about master luke ilet us sure he have be all right he will quite clever you know for a human being
===	===
OBI-WAN	luke luke
LUKE	ben
OBI-WAN	you will go to the dagobah system
LUKE	dagobah system
OBI-WAN	there you will learn from yoda the jedi master who instructed me
LUKE	ben ben
HAN	luke luke docan not do this luke come on give me a sign here not much time
LUKE	ben ben 
HAN	hang on kid
LUKE	dagobah system 
HAN	whew 
LUKE	dagobah 
HAN	this may smell bad kid 
LUKE	yoda 
HAN	 but it will keep you warm til i get the shelter built struggling to get luke in the carcass ooh i thought they smelled bad on the outside
===	===
ZEV	echo base i are got something not much but it could be a life form
===	===
ZEV	this is rouge two this is rouge two captain solo so you copy commander skywalker do you copy this is rouge two
HAN	good morning nice of you guys to drop by
ZEV	echo base this is rouge two i found them repeat i found them
===	===
